"","ImageName","LatitudeDD","LongitudeDD","DepthInMeters","SurveyID","Locality","Presence","logic","Clip_Aspect1","Clip_Slope1","Clip_Depth1","Clip_Intensity1","lon","lat"
"119","DSC-11227",26.4827,-84.7838,463,"NF-1708","Long Mound North",0,TRUE,250.297912597656,7.60003757476807,-441.945281982422,-23.1446876525879,720911.281854618,2931047.42048185
"120","DSC-11228",26.4827,-84.7838,458,"NF-1708","Long Mound North",0,TRUE,250.297912597656,7.60003757476807,-441.945281982422,-23.1446876525879,720911.281854618,2931047.42048185
"121","DSC-11229",26.4827,-84.7838,458,"NF-1708","Long Mound North",0,TRUE,250.297912597656,7.60003757476807,-441.945281982422,-23.1446876525879,720911.281854618,2931047.42048185
"122","DSC-11230",26.4826,-84.7838,457,"NF-1708","Long Mound North",0,TRUE,252.108413696289,11.322096824646,-441.613189697266,-22.2442722320557,720911.473066353,2931036.34034386
"123","DSC-11231",26.4826,-84.7838,457,"NF-1708","Long Mound North",0,TRUE,252.108413696289,11.322096824646,-441.613189697266,-22.2442722320557,720911.473066353,2931036.34034386
"124","DSC-11232",26.4826,-84.7838,458,"NF-1708","Long Mound North",0,TRUE,252.108413696289,11.322096824646,-441.613189697266,-22.2442722320557,720911.473066353,2931036.34034386
"125","DSC-11233",26.4826,-84.7838,458,"NF-1708","Long Mound North",0,TRUE,252.108413696289,11.322096824646,-441.613189697266,-22.2442722320557,720911.473066353,2931036.34034386
"126","DSC-11234",26.4825,-84.7838,455,"NF-1708","Long Mound North",0,TRUE,241.306106567383,12.5539627075195,-441.935638427734,-22.4684371948242,720911.664277416,2931025.260206
"127","DSC-11235",26.4825,-84.7838,455,"NF-1708","Long Mound North",0,TRUE,241.306106567383,12.5539627075195,-441.935638427734,-22.4684371948242,720911.664277416,2931025.260206
"128","DSC-11236",26.4825,-84.7838,460,"NF-1708","Long Mound North",0,TRUE,241.306106567383,12.5539627075195,-441.935638427734,-22.4684371948242,720911.664277416,2931025.260206
"129","DSC-11237",26.4825,-84.7838,460,"NF-1708","Long Mound North",0,TRUE,241.306106567383,12.5539627075195,-441.935638427734,-22.4684371948242,720911.664277416,2931025.260206
"130","DSC-11238",26.4825,-84.7838,458,"NF-1708","Long Mound North",0,TRUE,241.306106567383,12.5539627075195,-441.935638427734,-22.4684371948242,720911.664277416,2931025.260206
"131","DSC-11239",26.4825,-84.7838,458,"NF-1708","Long Mound North",0,TRUE,241.306106567383,12.5539627075195,-441.935638427734,-22.4684371948242,720911.664277416,2931025.260206
"132","DSC-11240",26.4824,-84.7838,458,"NF-1708","Long Mound North",0,TRUE,277.199859619141,4.52336025238037,-443.533142089844,-21.2665634155273,720911.855487807,2931014.18006827
"133","DSC-11241",26.4824,-84.7838,458,"NF-1708","Long Mound North",0,TRUE,277.199859619141,4.52336025238037,-443.533142089844,-21.2665634155273,720911.855487807,2931014.18006827
"134","DSC-11242",26.4824,-84.7838,453,"NF-1708","Long Mound North",0,TRUE,277.199859619141,4.52336025238037,-443.533142089844,-21.2665634155273,720911.855487807,2931014.18006827
"135","DSC-11243",26.4827,-84.7838,463,"NF-1708","Long Mound North",0,TRUE,250.297912597656,7.60003757476807,-441.945281982422,-23.1446876525879,720911.281854618,2931047.42048185
"136","DSC-11245",26.4824,-84.7838,453,"NF-1708","Long Mound North",0,TRUE,277.199859619141,4.52336025238037,-443.533142089844,-21.2665634155273,720911.855487807,2931014.18006827
"137","DSC-11249",26.4823,-84.7838,455,"NF-1708","Long Mound North",0,TRUE,265.416900634766,4.47027254104614,-443.623870849609,-24.3355808258057,720912.046697525,2931003.09993068
"138","DSC-11262",26.4822,-84.7838,453,"NF-1708","Long Mound North",0,TRUE,297.688415527344,9.86283397674561,-442.455535888672,-26.2449989318848,720912.237906571,2930992.01979322
"139","DSC-11264",26.4823,-84.7838,449,"NF-1708","Long Mound North",0,TRUE,265.416900634766,4.47027254104614,-443.623870849609,-24.3355808258057,720912.046697525,2931003.09993068
"140","DSC-11265",26.4822,-84.7839,414,"NF-1708","Long Mound North",0,TRUE,302.158966064453,13.0557508468628,-446.453765869141,-28,720902.26682707,2930991.84772728
"141","DSC-11266",26.4822,-84.7839,427,"NF-1708","Long Mound North",0,TRUE,302.158966064453,13.0557508468628,-446.453765869141,-28,720902.26682707,2930991.84772728
"142","DSC-11267",26.4822,-84.7839,408,"NF-1708","Long Mound North",0,TRUE,302.158966064453,13.0557508468628,-446.453765869141,-28,720902.26682707,2930991.84772728
"143","DSC-11269",26.4821,-84.784,404,"NF-1708","Long Mound North",0,TRUE,24.1528739929199,34.6948585510254,-437.097778320312,-29.723274230957,720892.486939063,2930980.59553271
"144","DSC-11270",26.4821,-84.784,402,"NF-1708","Long Mound North",0,TRUE,24.1528739929199,34.6948585510254,-437.097778320312,-29.723274230957,720892.486939063,2930980.59553271
"145","DSC-11271",26.4821,-84.784,402,"NF-1708","Long Mound North",0,TRUE,24.1528739929199,34.6948585510254,-437.097778320312,-29.723274230957,720892.486939063,2930980.59553271
"146","DSC-11272",26.482,-84.7839,402,"NF-1708","Long Mound North",0,TRUE,351.714569091797,21.1694145202637,-428.934814453125,-26.6737518310547,720902.649225858,2930969.68745366
"147","DSC-11273",26.482,-84.7839,402,"NF-1708","Long Mound North",0,TRUE,351.714569091797,21.1694145202637,-428.934814453125,-26.6737518310547,720902.649225858,2930969.68745366
"148","DSC-11274",26.482,-84.7839,410,"NF-1708","Long Mound North",0,TRUE,351.714569091797,21.1694145202637,-428.934814453125,-26.6737518310547,720902.649225858,2930969.68745366
"149","DSC-11275",26.482,-84.7839,410,"NF-1708","Long Mound North",0,TRUE,351.714569091797,21.1694145202637,-428.934814453125,-26.6737518310547,720902.649225858,2930969.68745366
"150","DSC-11276",26.4819,-84.7839,415,"NF-1708","Long Mound North",0,TRUE,324.614196777344,19.813720703125,-426.873748779297,-25.1452598571777,720902.840424244,2930958.60731705
"151","DSC-11277",26.4819,-84.7839,415,"NF-1708","Long Mound North",0,TRUE,324.614196777344,19.813720703125,-426.873748779297,-25.1452598571777,720902.840424244,2930958.60731705
